100.09|H000|Gildan|Hammer Adult T-Shirt|203 g/m² (White: 193 g/m²)|100% Coton peigné ringspun|3.82
170.01|61-038-0|Fruit of the Loom|Value weight LS T-Shirt|165 g/m² (White: 160 g/m²)|100% coton ; Heather Grey : 97% coton, 3% polyester|3.82
147.01|61-446-0|Fruit of the Loom|Iconic 150 Classic Long Sleeve T|150 g/m² (Blanc: 140 g/m²)|100% coton peigné ring-spun ; Heather Grey : 97% Coton, 3% Polyester|3.93
102.39|BY021|Build Your Brand|Ladies Extended Shoulder Tee|140 g/m²|100% coton, jersey simple ; encolure ronde|3.97
101.39|BY004|Build Your Brand|T-Shirt Round Neck|200 g/m²|100% coton, jersey simple ; revers côtelé à l'encolure|3.97
117.01|61-026-0|Fruit of the Loom|Baseball Tee|160 g/m²|100% coton ; bord côte 1x1 contrasté avec lycra à l'encolure|3.98
161.01|61-168-0|Fruit of the Loom|Ringer Tee|165 g/m² (White: 160 g/m²)|100% Coton ; bord côte contrasté à l'encolure et aux manches|3.98
125.09|980|Gildan|Softstyle EZ Adult T-Shirt|153 g/m² (White: 144 g/m²)|100% coton, ringspun et peigné ; haute densité, idéal pour le DTG|4.07
027.42|TU05T|B&C|#E150 LSL|145 g/m²|100% coton, pré-rétréci et ring-spun ; Sport Grey : 85% coton, 15% viscose|4.12
102.42|TM042|B&C|Inspire T /men|140 g/m²|100% coton (peigné, ringspun, certifié bio) ; Sport Grey 90/10 viscose|4.12
189.42|TW043|B&C|Inspire T /women|140 g/m²|100% coton (peigné, ringspun, certifié bio) ; Sport Grey 90/10 viscose|4.12
029.42|TW06T|B&C|#E150 LSL /women|145 g/m²|100% coton, pré-rétréci et ring-spun ; Sport Grey : 85% coton, 15% viscose|4.13
168.09|8000|Gildan|DryBlend Adult T-Shirt|186 g/m² (White: 176 g/m²)|50% coton, 50% polyester ; évacuation de l'humidité|4.26
104.39|BY042|Build Your Brand|Ladies Cropped Tee|180 g/m²|95% coton, 5% élasthanne, jersey simple ; étiquette de taille neutre|4.31
026.42|TW073|B&C|Inspire Tank T /women|140 g/m²|100% coton (peigné, ringspun, certifié bio) ; Sport Grey 90/10 viscose|4.34
181.42|TM044|B&C|Inspire V T /men|140 g/m²|100% coton (peigné, ringspun, certifié bio) ; jersey simple|4.40
182.42|TW045|B&C|Inspire V T /women|140 g/m²|100% coton (peigné, ringspun, certifié bio) ; jersey simple|4.40
116.01|61-028-0|Fruit of the Loom|Long Sleeve Baseball T-Shirt|160 g/m²|100% coton ; bord côte 1x1 contrasté avec lycra|4.52
103.39|BY036|Build Your Brand|Ladies Long Slub Tee|140 g/m²|100% coton, jersey flammé ; étiquette de taille neutre|4.54
107.09|64400|Gildan|Softstyle Adult Long Sleeve T-Shirt|144-153 g/m²|100% Coton jersey prérétréci ; tissu dense, surface d'impression lisse|4.65
125.01|61-360-0|Fruit of the Loom|Iconic 195 Ringspun Premium Long Sleeve T|195 g/m² (White: 190 g/m²)|100% coton, ringspun et peigné ; Heather Grey : 97% coton, 3% polyester|4.86
112.39|BY028|Build Your Brand|Shaped Long Tee|140 g/m²|100% coton ; jersey simple léger|4.89
118.42|TK350|B&C|Base-Ball/kids T-Shirt|185 g/m²|100% coton, prérétréci et ringspun ; jersey simple|4.92
113.00|0R180L0|Russell Athletic|Authentic Classic Long Sleeve T|180 g/m² (White: 175 g/m²)|100% coton, ringspun (jersey simple) ; tissu tricoté qualité supérieure|5.03
025.42|TM072|B&C|Inspire Tank T/men|140 g/m²|100% coton (peigné, ringspun, certifié bio) ; Sport Grey 90/10 viscose|5.09
032.42|TG002|B&C|#E220 T-Shirt|220 g/m²|100% coton ; véritable style non genré, coutures latérales|5.10
116.39|BY211|Build Your Brand|Ladies Everyday Tee|200 g/m²|100% coton ; tricoté|5.12
185.54|8005|Tee Jays|Men's Fashion Sof Tee|185 g/m²|100% coton peigné ringspun ; coton longues fibres|5.27
023.42|TM048|B&C|Inspire Plus T /men|175 g/m²|100% coton (peigné, ringspun, certifié bio) ; Sport Grey 90/10 viscose|5.30
024.42|TW049|B&C|Inspire Plus T /women|175 g/m²|100% coton (peigné, ringspun, certifié bio) ; Sport Grey 90/10 viscose|5.30
184.54|8006|Tee Jays|Men's Fashion V-Neck Sof Tee|185 g/m²|100% coton (longue fibre), ringspun peigné ; prérétréci deux fois|5.38
120.00|0R108F0|Russell Pure Organic|Ladies' Pure Organic Tee|160 g/m² (White: 155 g/m²)|100% coton organique, peigné et ringspun ; Light Oxford 97/3 viscose|5.57
119.00|0R108M0|Russell Pure Organic|Men's Pure Organic Tee|160 g/m² (White: 155 g/m²)|100% coton organique, peigné et ringspun ; Light Oxford 97/3 viscose|5.57
104.11|KK504|Kustom Kit|Fashion Fit Superwash® 60º Tee|160 g/m²|65% polyester, 35% coton, ringspun peigné ; bord côte 1x1 au col|5.60
114.39|BY149|Build Your Brand|Ladies Oversized Boyfriend Tee|220 g/m²|100% coton ; encolure ronde|5.69
117.42|TU020|B&C|T-Shirt Base-Ball|185 g/m²|100% coton, pré-rétréci et ringspun ; jersey simple|5.90
028.42|TU07T|B&C|#E190 LSL|185 g/m²|100% coton, pré-rétréci et ring-spun ; jersey simple|5.92
030.42|TW08T|B&C|#E190 LSL /women|185 g/m²|100% coton, pré-rétréci et ring-spun ; jersey simple|5.93
017.42|TM070|B&C|Inspire LSL T /men|140 g/m²|100% coton (peigné, ringspun, certifié bio) ; Sport Grey 90/10 viscose|6.08
018.42|TW071|B&C|Inspire LSL T /women|140 g/m²|100% coton (certifié bio) ; Sport Grey 90/10 viscose|6.08
